dataset_tag,quarter,feature_name,metric_name,metric_value,reference_window_id,cohort_threshold,sample_size,notes
aoestats,2023-Q2,focal_old_rating,psi,0.1598,2023-Q1-alt,10,32826,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2023-Q2,avg_elo,psi,0.1577,2023-Q1-alt,10,32826,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2023-Q2,faction,psi,0.1693,2023-Q1-alt,10,32826,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=30 [B3-counterfactual]
aoestats,2023-Q2,opponent_faction,psi,0.0614,2023-Q1-alt,10,32826,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=36 [B3-counterfactual]
aoestats,2023-Q2,mirror,cohen_h,0.0432,2023-Q1-alt,10,32826,binary exact-value Cohen h; ref_rate=0.0452 test_rate=0.0546 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2023-Q2,p0_is_unrated,cohen_h,0.0162,2023-Q1-alt,10,32826,binary exact-value Cohen h; ref_rate=0.0001 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2023-Q2,p1_is_unrated,cohen_h,0.0024,2023-Q1-alt,10,32826,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2023-Q2,map,psi,4.2797,2023-Q1-alt,10,32826,categorical PSI with __unseen__ bin; n_ref_cats=28; unseen_tested=3860 [B3-counterfactual]
aoestats,2023-Q3,focal_old_rating,psi,0.2039,2023-Q1-alt,10,23832,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2023-Q3,avg_elo,psi,0.1987,2023-Q1-alt,10,23832,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2023-Q3,faction,psi,0.4636,2023-Q1-alt,10,23832,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=305 [B3-counterfactual]
aoestats,2023-Q3,opponent_faction,psi,0.4764,2023-Q1-alt,10,23832,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=523 [B3-counterfactual]
aoestats,2023-Q3,mirror,cohen_h,0.0224,2023-Q1-alt,10,23832,binary exact-value Cohen h; ref_rate=0.0452 test_rate=0.0406 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2023-Q3,p0_is_unrated,cohen_h,0.0162,2023-Q1-alt,10,23832,binary exact-value Cohen h; ref_rate=0.0001 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2023-Q3,p1_is_unrated,cohen_h,0.0024,2023-Q1-alt,10,23832,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2023-Q3,map,psi,6.6598,2023-Q1-alt,10,23832,categorical PSI with __unseen__ bin; n_ref_cats=28; unseen_tested=3775 [B3-counterfactual]
aoestats,2023-Q4,focal_old_rating,psi,0.2733,2023-Q1-alt,10,26298,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2023-Q4,avg_elo,psi,0.2726,2023-Q1-alt,10,26298,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2023-Q4,faction,psi,0.7326,2023-Q1-alt,10,26298,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=645 [B3-counterfactual]
aoestats,2023-Q4,opponent_faction,psi,0.8614,2023-Q1-alt,10,26298,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=1040 [B3-counterfactual]
aoestats,2023-Q4,mirror,cohen_h,0.0175,2023-Q1-alt,10,26298,binary exact-value Cohen h; ref_rate=0.0452 test_rate=0.0416 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2023-Q4,p0_is_unrated,cohen_h,0.0039,2023-Q1-alt,10,26298,binary exact-value Cohen h; ref_rate=0.0001 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2023-Q4,p1_is_unrated,cohen_h,0.0024,2023-Q1-alt,10,26298,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2023-Q4,map,psi,8.1765,2023-Q1-alt,10,26298,categorical PSI with __unseen__ bin; n_ref_cats=28; unseen_tested=5498 [B3-counterfactual]
aoestats,2024-Q1,focal_old_rating,psi,0.2471,2023-Q1-alt,10,25018,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2024-Q1,avg_elo,psi,0.2454,2023-Q1-alt,10,25018,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2024-Q1,faction,psi,0.6174,2023-Q1-alt,10,25018,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=556 [B3-counterfactual]
aoestats,2024-Q1,opponent_faction,psi,0.7773,2023-Q1-alt,10,25018,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=879 [B3-counterfactual]
aoestats,2024-Q1,mirror,cohen_h,0.0403,2023-Q1-alt,10,25018,binary exact-value Cohen h; ref_rate=0.0452 test_rate=0.0372 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2024-Q1,p0_is_unrated,cohen_h,0.0162,2023-Q1-alt,10,25018,binary exact-value Cohen h; ref_rate=0.0001 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2024-Q1,p1_is_unrated,cohen_h,0.0024,2023-Q1-alt,10,25018,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2024-Q1,map,psi,6.1764,2023-Q1-alt,10,25018,categorical PSI with __unseen__ bin; n_ref_cats=28; unseen_tested=3882 [B3-counterfactual]
aoestats,2024-Q2,focal_old_rating,psi,0.4155,2023-Q1-alt,10,22503,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2024-Q2,avg_elo,psi,0.4094,2023-Q1-alt,10,22505,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2024-Q2,faction,psi,0.736,2023-Q1-alt,10,22505,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=649 [B3-counterfactual]
aoestats,2024-Q2,opponent_faction,psi,0.9337,2023-Q1-alt,10,22505,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=958 [B3-counterfactual]
aoestats,2024-Q2,mirror,cohen_h,0.0409,2023-Q1-alt,10,22505,binary exact-value Cohen h; ref_rate=0.0452 test_rate=0.0371 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2024-Q2,p0_is_unrated,cohen_h,0.0104,2023-Q1-alt,10,22505,binary exact-value Cohen h; ref_rate=0.0001 test_rate=0.0002 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2024-Q2,p1_is_unrated,cohen_h,0.0024,2023-Q1-alt,10,22505,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2024-Q2,map,psi,7.2151,2023-Q1-alt,10,22505,categorical PSI with __unseen__ bin; n_ref_cats=28; unseen_tested=3856 [B3-counterfactual]
aoestats,2024-Q3,focal_old_rating,psi,0.372,2023-Q1-alt,10,9481,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2024-Q3,avg_elo,psi,0.3639,2023-Q1-alt,10,9498,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2024-Q3,faction,psi,1.0669,2023-Q1-alt,10,9498,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=396 [B3-counterfactual]
aoestats,2024-Q3,opponent_faction,psi,0.928,2023-Q1-alt,10,9498,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=395 [B3-counterfactual]
aoestats,2024-Q3,mirror,cohen_h,0.0282,2023-Q1-alt,10,9498,binary exact-value Cohen h; ref_rate=0.0452 test_rate=0.0395 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2024-Q3,p0_is_unrated,cohen_h,0.0708,2023-Q1-alt,10,9498,binary exact-value Cohen h; ref_rate=0.0001 test_rate=0.0019 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2024-Q3,p1_is_unrated,cohen_h,0.0024,2023-Q1-alt,10,9498,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h) [B3-counterfactual]
aoestats,2024-Q3,map,psi,6.5954,2023-Q1-alt,10,9498,categorical PSI with __unseen__ bin; n_ref_cats=28; unseen_tested=1319 [B3-counterfactual]
aoestats,2024-Q4,focal_old_rating,psi,0.3639,2023-Q1-alt,10,17207,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2024-Q4,avg_elo,psi,0.3568,2023-Q1-alt,10,17243,continuous decile PSI n_bins=10 [B3-counterfactual]
aoestats,2024-Q4,faction,psi,1.3514,2023-Q1-alt,10,17245,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=975 [B3-counterfactual]
aoestats,2024-Q4,opponent_faction,psi,1.0328,2023-Q1-alt,10,17245,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=798 [B3-counterfactual]
aoestats,2024-Q4,mirror,cohen_h,0.063,2023-Q1-alt,10,17245,binary exact-value Cohen h; ref_rate=0.0452 test_rate=0.0330 (spec §3 metric_name=cohen_h) [B3-counterfactual]
