tournament_dir,tier,tier_source,notes
2016_IEM_10_Taipei,Platinum,Liquipedia,IEM = Intel Extreme Masters; S-tier
2016_IEM_11_Shanghai,Platinum,Liquipedia,IEM = Intel Extreme Masters; S-tier
2016_WCS_Winter,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2017_HomeStory_Cup_XV,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2017_HomeStory_Cup_XVI,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2017_IEM_Shanghai,Platinum,Liquipedia,IEM = Intel Extreme Masters; S-tier
2017_IEM_XI_World_Championship_Katowice,Platinum,Liquipedia,IEM World Championship = S-tier premier
2017_WCS_Austin,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2017_WCS_Global_Finals,Platinum,Liquipedia,WCS Global Finals = S-tier; BlizzCon-level
2017_WCS_Jonkoping,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2017_WCS_Montreal,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2017_WESG_Barcelona,Gold,Liquipedia,WESG = World Electronic Sports Games; A-tier
2017_WESG_Haikou,Gold,Liquipedia,WESG = World Electronic Sports Games; A-tier
2018_Cheeseadelphia_8,Bronze,Liquipedia,Cheeseadelphia = grassroots community event
2018_HomeStory_Cup_XVII,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2018_HomeStory_Cup_XVIII,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2018_IEM_Katowice,Platinum,Liquipedia,IEM Katowice = S-tier premier event
2018_IEM_PyeongChang,Platinum,Liquipedia,IEM PyeongChang = S-tier (Olympic partnership)
2018_WCS_Austin,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2018_WCS_Global_Finals,Platinum,Liquipedia,WCS Global Finals = S-tier; BlizzCon
2018_WCS_Leipzig,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2018_WCS_Montreal,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2018_WCS_Valencia,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2018_WESG_Grand_Finals,Gold,Liquipedia,WESG Grand Finals = A-tier
2019_Assembly_Summer,Silver,Liquipedia,Assembly = Finnish LAN event; B-tier
2019_HomeStory_Cup_XIX,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2019_HomeStory_Cup_XX,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2019_IEM_Katowice,Platinum,Liquipedia,IEM Katowice = S-tier premier event
2019_WCS_Fall,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2019_WCS_Grand_Finals,Platinum,Liquipedia,WCS Grand Finals = S-tier; BlizzCon
2019_WCS_Spring,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2019_WCS_Summer,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2019_WCS_Winter,Platinum,Liquipedia,WCS = StarCraft II World Championship Series; S-tier
2020_05_Dreamhack_Last_Chance,Gold,Liquipedia,DreamHack SC2 Masters = A-tier circuit
2020_ASUS_ROG_Online,Silver,Liquipedia,ASUS ROG Online = B-tier online event
2020_Dreamhack_SC2_Masters_Fall,Gold,Liquipedia,DreamHack SC2 Masters = A-tier circuit
2020_Dreamhack_SC2_Masters_Summer,Gold,Liquipedia,DreamHack SC2 Masters = A-tier circuit
2020_IEM_Katowice,Platinum,Liquipedia,IEM Katowice = S-tier premier event
2020_StayAtHome_Story_Cup_1,Gold,Liquipedia,Stay At Home Story Cup = A-tier online invitational
2020_StayAtHome_Story_Cup_2,Gold,Liquipedia,Stay At Home Story Cup = A-tier online invitational
2020_TSL5,Gold,Liquipedia,TeamLiquid StarLeague = A-tier invitational
2020_TSL6,Gold,Liquipedia,TeamLiquid StarLeague = A-tier invitational
2021_ASUS_ROG_Fall,Silver,Liquipedia,ASUS ROG Online = B-tier online event
2021_Cheeseadelphia_Winter_Championship,Bronze,Liquipedia,Cheeseadelphia = grassroots community event
2021_Dreamhack_SC2_Masters_Fall,Gold,Liquipedia,DreamHack SC2 Masters = A-tier circuit
2021_Dreamhack_SC2_Masters_Summer,Gold,Liquipedia,DreamHack SC2 Masters = A-tier circuit
2021_Dreamhack_SC2_Masters_Winter,Gold,Liquipedia,DreamHack SC2 Masters = A-tier circuit
2021_IEM_Katowice,Platinum,Liquipedia,IEM Katowice = S-tier premier event
2021_StayAtHome_Story_Cup_3,Gold,Liquipedia,Stay At Home Story Cup = A-tier online invitational
2021_StayAtHome_Story_Cup_4,Gold,Liquipedia,Stay At Home Story Cup = A-tier online invitational
2021_TSL7,Gold,Liquipedia,TeamLiquid StarLeague = A-tier invitational
2021_TSL8,Gold,Liquipedia,TeamLiquid StarLeague = A-tier invitational
2022_03_DH_SC2_Masters_Atlanta,Gold,Liquipedia,DreamHack SC2 Masters = A-tier circuit
2022_Dreamhack_SC2_Masters_Last_Chance2021,Gold,Liquipedia,DreamHack SC2 Masters = A-tier circuit
2022_Dreamhack_SC2_Masters_Valencia,Gold,Liquipedia,DreamHack SC2 Masters = A-tier circuit
2022_HomeStory_Cup_XXI,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2022_HomeStory_Cup_XXII,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2022_IEM_Katowice,Platinum,Liquipedia,IEM Katowice = S-tier premier event
2022_TSL9,Gold,Liquipedia,TeamLiquid StarLeague = A-tier invitational
2023_01_IEM_Katowice,Platinum,Liquipedia,IEM Katowice = S-tier premier event
2023_04_ESL_SC2_Masters_Summer_Finals,Gold,Liquipedia,ESL SC2 Masters = A-tier circuit
2023_05_Gamers8,Gold,Liquipedia,Gamers8 = A-tier Saudi-hosted event
2023_07_ESL_SC2_Masters_Winter_Finals,Gold,Liquipedia,ESL SC2 Masters = A-tier circuit
2023_HomeStory_Cup_XXIV,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2024_01_IEM_Katowice,Platinum,Liquipedia,IEM Katowice = S-tier premier event
2024_03_ESL_SC2_Masters_Spring_Finals,Gold,Liquipedia,ESL SC2 Masters = A-tier circuit
2024_05_EWC,Gold,Liquipedia,Esports World Cup SC2 = A-tier major event
2024_HomeStory_Cup_XXV,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2024_HomeStory_Cup_XXVI,Gold,Liquipedia,HomeStory Cup = A-tier invitational
2024_StaraZagora_BellumGensElite,Silver,Liquipedia,Bellum Gens Elite = B-tier regional event
